League,Team,Player,URL
Bundesliga,Union Berlin,20 February 1909,https://en.wikipedia.org/wiki/Union_Berlin
Bundesliga,Union Berlin,20 January 1966,https://en.wikipedia.org/wiki/Union_Berlin
Bundesliga,Union Berlin,18 February 1963,https://en.wikipedia.org/wiki/Union_Berlin
Bundesliga,Werder Bremen,Willi Multhaup,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Sepp Piontek,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Horst Steffen,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Fritz Langner,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Fred Schulz,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Florian Kohfeldt,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Ole Werner,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Hans-Jürgen Dörner,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Viktor Skrypnyk,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Hans Tilkowski,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Richard Ackerschott,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Fritz Rebell,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Danijel Zenković,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Otto Rehhagel,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Markus Anfang,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Robin Dutt,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Herbert Burdenski,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Wolfgang Sidka,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Thomas Schaaf,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Alexander Nouri,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Kuno Klötzer,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Wolfgang Weber,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Aad de Mos,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Günter Brocker,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Robert Gebhardt,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Wolfgang Rolff,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Rudi Assauer,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Werder Bremen,Felix Magath,https://en.wikipedia.org/wiki/Werder_Bremen
Bundesliga,Wolfsburg,Ivica Olić,https://en.wikipedia.org/wiki/Wolfsburg_FC
Bundesliga,Wolfsburg,Sporting director,https://en.wikipedia.org/wiki/Wolfsburg_FC
Bundesliga,Wolfsburg,Managing director,https://en.wikipedia.org/wiki/Wolfsburg_FC
EPL,Arsenal,Managing Director,https://en.wikipedia.org/wiki/Arsenal_F.C.
EPL,Arsenal,Miguel Molina,https://en.wikipedia.org/wiki/Arsenal_F.C.
EPL,Arsenal,Director of Football Operations,https://en.wikipedia.org/wiki/Arsenal_F.C.
EPL,Arsenal,Nicolas Jover,https://en.wikipedia.org/wiki/Arsenal_F.C.
EPL,Arsenal,Head of Sports Medicine and Performance,https://en.wikipedia.org/wiki/Arsenal_F.C.
EPL,Arsenal,Chief Financial Officer,https://en.wikipedia.org/wiki/Arsenal_F.C.
EPL,Arsenal,Chief Commercial Officer,https://en.wikipedia.org/wiki/Arsenal_F.C.
EPL,Arsenal,Executive Vice-chair,https://en.wikipedia.org/wiki/Arsenal_F.C.
EPL,Arsenal,Sporting Director,https://en.wikipedia.org/wiki/Arsenal_F.C.
EPL,Arsenal,Gabriel Heinze,https://en.wikipedia.org/wiki/Arsenal_F.C.
EPL,Aston Villa,Howard Spencer,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Tyrone Mings,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Performance Staff & Medical,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Jimmy Allen,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Chief Operating Officer,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Director of Football Operations,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Gareth Southgate,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Joe Bache,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Kevin Richardson,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,"Vice President, Content & Digital",https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,John McGinn,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Tony Barton,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,President of Business Operations,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Head of Strength & Conditioning,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Stuart Gray,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Alan Deakin,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Jozef Vengloš,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Data/Video Analyst,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Ron Saunders,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,John Devey,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Global Director of Football Developmentand International Academies,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Global Technical Role,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,George Ramsay,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Executive Chairman,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Tom Griffiths,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Brian Little,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Stiliyan Petrov,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,George Cummings,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,John Terry,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Chief Scout,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Andy Ducat,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Martin Laursen,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Head of Sport Medicine & Science,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Analysis Department,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Steve Staunton,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Eric Houghton,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Performance Director,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Gabriel Agbonlahor,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Head of Recruitment,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Ian Ross,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Ron Atkinson,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Olof Mellberg,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Lead Physiotherapist,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Allan Evans,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Jimmy Hogan,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Billy Walker,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Dean Smith,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Dicky Dorsett,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Paul Merson,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Chief Commercial Officer,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Jimmy Crabtree,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Johnny Dixon,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Vic Crowe,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Gareth Barry,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Chris Nicholl,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Alec Talbot,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Jack Grealish,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,John Gregory,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Walter H. Price,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Alex Massie,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Head Psychologist,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Charlie Aitken,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Danny Blanchflower,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Dennis Mortimer,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,President of Football Operations,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Archie Hunter,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Joe Mercer,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Frank Moss,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Head of Emerging Talents & Loans,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Ron Vlaar,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Aston Villa,Andy Townsend,https://en.wikipedia.org/wiki/Aston_Villa
EPL,Bournemouth,Media Team,https://en.wikipedia.org/wiki/Bournemouth_F.C.
EPL,Bournemouth,Kit Man,https://en.wikipedia.org/wiki/Bournemouth_F.C.
EPL,Brentford,Kevin O'Connor,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Jon Varney,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Jordan Marley,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Ben Ryan,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Dr. Stephen Thompson,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Cameron Tucker-White,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Alex Davis,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Neil MacFarlane,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Matthew Benham,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Lisa Skelhorn,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Nick Stubbings,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Preeti Shetty,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Mehmet Ali,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Lee Dykes,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Manu Sotelo,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Peter Gilham,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Phil Giles,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Stuart Hatcher,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Rhys Weston,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Nity Raj,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Marcus Gayle,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Sam Saunders,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Deji Davies,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Jani Viander,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Keith Andrews,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Luke Stopforth,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Josh Kirk,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Roger Crook,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Bob Oteng,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Haydee Agras,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Martin Drury,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brentford,Cliff Crown,https://en.wikipedia.org/wiki/Brentford_F.C.
EPL,Brighton & Hove Albion,,
EPL,Chelsea,President of business,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Bobby Campbell,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,John Neal,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,James Pade,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,José E. Feliciano,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Chief executive officer,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,José Mourinho,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Ted Drake,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Roberto Di Matteo,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Hansjörg Wyss,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,John Hollins,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Carlo Ancelotti,https://en.wikipedia.org/wiki/Chelsea_F.C.
