name,team,sport,league,indices
Ben Winterburn,Bournemouth,Football,EPL,"[57, 24163]"
Carlos Vinícius,Fulham,Football,EPL,"[60, 24325]"
Pablo Sarabia,Wolves,Football,EPL,"[80, 24638]"
J. Matip,Liverpool,Football,EPL,"[100, 1960]"
Thiago Alcântara,Liverpool,Football,EPL,"[101, 1961]"
Diogo Jota,Liverpool,Football,EPL,"[102, 1962, 24414]"
C. Ramsay,Liverpool,Football,EPL,"[103, 1963]"
Thomas Daniel Hill,Liverpool,Football,EPL,"[104, 1964]"
James Barry Norris,Liverpool,Football,EPL,"[105, 1965]"
O. Beck,Liverpool,Football,EPL,"[106, 1966]"
V. Jaroš,Liverpool,Football,EPL,"[107, 1967]"
H. Davies,Liverpool,Football,EPL,"[108, 1968]"
James Balagizi,Liverpool,Football,EPL,"[109, 1969]"
Mateusz Konrad Musiałowski,Liverpool,Football,EPL,"[110, 1970]"
L. Chambers,Liverpool,Football,EPL,"[111, 1971]"
Kaide Gordon,Liverpool,Football,EPL,"[112, 1972]"
J. McConnell,Liverpool,Football,EPL,"[113, 1973]"
Fabian Mrozek,Liverpool,Football,EPL,"[114, 1974]"
C. Scanlon,Liverpool,Football,EPL,"[115, 1975]"
Stefan Bajčetić,Liverpool,Football,EPL,"[116, 1976]"
B. Clark,Liverpool,Football,EPL,"[117, 1977]"
Trent Toure Kone Doherty,Liverpool,Football,EPL,"[118, 1978]"
R. Young,Liverpool,Football,EPL,"[119, 1979]"
Juan Larios,Southampton,Football,EPL,"[135, 24549]"
T. Partey,Arsenal,Football,EPL,"[140, 1980]"
Cédric Soares,Arsenal,Football,EPL,"[141, 1981]"
Mohamed Elneny,Arsenal,Football,EPL,"[142, 1982]"
Jorginho,Arsenal,Football,EPL,"[143, 1983, 24118]"
T. Tomiyasu,Arsenal,Football,EPL,"[144, 1984]"
Nuno Tavares,Arsenal,Football,EPL,"[145, 1985]"
N. Butler-Oyedeji,Arsenal,Football,EPL,"[146, 1986]"
O. Rekik,Arsenal,Football,EPL,"[147, 1987]"
S. Oulad M&apos;Hand,Arsenal,Football,EPL,"[148, 1988]"
M. Biereth,Arsenal,Football,EPL,"[149, 1989]"
Jack Henry-Francis,Arsenal,Football,EPL,"[150, 1990]"
James Lannin-Sweet,Arsenal,Football,EPL,"[151, 1991]"
Mauro Bandeira,Arsenal,Football,EPL,"[152, 1992]"
C. Sagoe,Arsenal,Football,EPL,"[153, 1993]"
A. Cozier-Duberry,Arsenal,Football,EPL,"[154, 1994]"
R. Walters,Arsenal,Football,EPL,"[155, 1995]"
Marquinhos,Arsenal,Football,EPL,"[156, 1996]"
J. Gower,Arsenal,Football,EPL,"[157, 1997]"
M. Rosiak,Arsenal,Football,EPL,"[158, 1998]"
L. Martin,Arsenal,Football,EPL,"[159, 1999]"
Carlos Soler,West Ham,Football,EPL,"[220, 24597]"
T. Harwood-Bellis,Manchester City,Football,EPL,"[260, 2000]"
B. Knight,Manchester City,Football,EPL,"[261, 2001]"
F. Burns,Manchester City,Football,EPL,"[262, 2002]"
L. Delap,Manchester City,Football,EPL,"[263, 2003]"
Yan Couto,Manchester City,Football,EPL,"[264, 2004]"
L. Mbete,Manchester City,Football,EPL,"[265, 2005]"
C. Doyle,Manchester City,Football,EPL,"[266, 2006]"
A. Robertson,Manchester City,Football,EPL,"[267, 2007]"
Jadel Katongo,Manchester City,Football,EPL,"[268, 2008]"
Joel Tshisanga Ndala,Manchester City,Football,EPL,"[269, 2009]"
Tomas Galvez,Manchester City,Football,EPL,"[270, 2010]"
L. Samuel,Manchester City,Football,EPL,"[271, 2011]"
J. Oboavwoduo,Manchester City,Football,EPL,"[272, 2012]"
A. Ahmed Fatah,Manchester City,Football,EPL,"[273, 2013]"
Jaden Heskey,Manchester City,Football,EPL,"[274, 2014]"
True Grant,Manchester City,Football,EPL,"[275, 2015]"
S. Mfuni,Manchester City,Football,EPL,"[276, 2016]"
Farid Alfa-Ruprecht,Manchester City,Football,EPL,"[277, 2017]"
M. Hudson,Manchester City,Football,EPL,"[278, 2018]"
Reigan Heskey,Manchester City,Football,EPL,"[279, 2019]"
C. Lenglet,Aston Villa,Football,EPL,"[380, 2020]"
N. Zaniolo,Aston Villa,Football,EPL,"[381, 2021]"
C. Chambers,Aston Villa,Football,EPL,"[382, 2022]"
K. Hause,Aston Villa,Football,EPL,"[383, 2023]"
Douglas Luiz,Aston Villa,Football,EPL,"[384, 2024]"
F. Marschall,Aston Villa,Football,EPL,"[385, 2025]"
L. Dobbin,Aston Villa,Football,EPL,"[386, 2026]"
L. Barry,Aston Villa,Football,EPL,"[387, 2027]"
S. Revan,Aston Villa,Football,EPL,"[388, 2028]"
J. Wright,Aston Villa,Football,EPL,"[389, 2029]"
L. Sousa,Aston Villa,Football,EPL,"[390, 2030]"
T. Iroegbunam,Aston Villa,Football,EPL,"[391, 2031]"
Finley Munroe,Aston Villa,Football,EPL,"[392, 2032]"
Kobei Moore,Aston Villa,Football,EPL,"[393, 2033]"
Joshua Feeney,Aston Villa,Football,EPL,"[394, 2034]"
K. Young,Aston Villa,Football,EPL,"[395, 2035]"
O. Kellyman,Aston Villa,Football,EPL,"[396, 2036]"
J. Jimoh,Aston Villa,Football,EPL,"[397, 2037]"
B. Burrows,Aston Villa,Football,EPL,"[398, 2038]"
L. Emery,Aston Villa,Football,EPL,"[399, 2039]"
João Félix,Barcelona,Football,LaLiga,"[400, 2600]"
João Cancelo,Barcelona,Football,LaLiga,"[401, 2601]"
Marcos Alonso,Barcelona,Football,LaLiga,"[402, 2602]"
J. Araujo,Barcelona,Football,LaLiga,"[403, 2603]"
Ansu Fati,Barcelona,Football,LaLiga,"[404, 2604, 27196]"
Aleix Garrido,Barcelona,Football,LaLiga,"[405, 2605]"
Ander Astralaga,Barcelona,Football,LaLiga,"[406, 2606]"
Dani Rodríguez,Barcelona,Football,LaLiga,"[407, 2607]"
Héctor Fort,Barcelona,Football,LaLiga,"[408, 2608, 27205]"
Á. Yaakobishvili,Barcelona,Football,LaLiga,"[409, 2609]"
Marc Guiu,Barcelona,Football,LaLiga,"[410, 2610]"
Sergi Domínguez,Barcelona,Football,LaLiga,"[411, 2611]"
Pau Prim,Barcelona,Football,LaLiga,"[412, 2612]"
Alexis Olmedo,Barcelona,Football,LaLiga,"[413, 2613]"
Álvaro Cortés Moyano,Barcelona,Football,LaLiga,"[414, 2614]"
Guille Fernández,Barcelona,Football,LaLiga,"[415, 2615]"
Andrés Cuenca,Barcelona,Football,LaLiga,"[416, 2616]"
Toni Fernández,Barcelona,Football,LaLiga,"[417, 2617]"
Landry Cephas,Barcelona,Football,LaLiga,"[418, 2618]"
Quim Junyent,Barcelona,Football,LaLiga,"[419, 2619]"
Borja Garcés,Atletico Madrid,Football,LaLiga,"[420, 2620, 27172]"
Víctor Mollejo,Atletico Madrid,Football,LaLiga,"[421, 2621]"
Gabriel Paulista,Atletico Madrid,Football,LaLiga,"[422, 2622]"
Marcos Paulo,Atletico Madrid,Football,LaLiga,"[423, 2623]"
Germán Valera,Atletico Madrid,Football,LaLiga,"[424, 2624]"
Marco Moreno,Atletico Madrid,Football,LaLiga,"[425, 2625]"
Mini,Atletico Madrid,Football,LaLiga,"[426, 2626]"
Pablo Pérez,Atletico Madrid,Football,LaLiga,"[427, 2627]"
Álex Calatrava,Atletico Madrid,Football,LaLiga,"[428, 2628]"
Adrián Corral,Atletico Madrid,Football,LaLiga,"[429, 2629]"
Sergio Díez,Atletico Madrid,Football,LaLiga,"[430, 2630]"
Javier Boñar,Atletico Madrid,Football,LaLiga,"[431, 2631]"
Luis Miguel Morales Carnicero,Atletico Madrid,Football,LaLiga,"[432, 2632]"
Samu,Atletico Madrid,Football,LaLiga,"[433, 2633]"
David Muñoz Torres,Atletico Madrid,Football,LaLiga,"[434, 2634]"
A. Raihani,Atletico Madrid,Football,LaLiga,"[435, 2635]"
Dani MartÃ­nez,Atletico Madrid,Football,LaLiga,"[436, 2636]"
Daniel Muñoz,Atletico Madrid,Football,LaLiga,"[437, 2637]"
Taufik Seidu,Atletico Madrid,Football,LaLiga,"[438, 2638]"
Dani Rubio,Atletico Madrid,Football,LaLiga,"[439, 2639]"
Raúl Albiol,Villarreal,Football,LaLiga,"[481, 27636]"
Álex Muñoz,Las Palmas,Football,LaLiga,"[506, 27322]"
Stefan Bajčetić,Las Palmas,Football,LaLiga,"[517, 27347]"
Suso,Sevilla,Football,LaLiga,"[525, 27522]"
Jaílson,Celta Vigo,Football,LaLiga,"[560, 27234]"
Javier Manquillo,Celta Vigo,Football,LaLiga,"[564, 27236]"
Iago Aspas,Celta Vigo,Football,LaLiga,"[566, 27230]"
Damián Rodríguez,Celta Vigo,Football,LaLiga,"[575, 27225]"
Pablo Durán,Celta Vigo,Football,LaLiga,"[578, 27240]"
Brian Oliván,Espanyol,Football,LaLiga,"[584, 27248]"
Salvi,Espanyol,Football,LaLiga,"[585, 27265]"
Álvaro Aguado,Espanyol,Football,LaLiga,"[588, 27246]"
Fernando Pacheco,Espanyol,Football,LaLiga,"[589, 27252]"
Nacho,Real Madrid,Football,LaLiga,"[600, 2640]"
T. Kroos,Real Madrid,Football,LaLiga,"[601, 2641]"
Kepa,Real Madrid,Football,LaLiga,"[602, 2642]"
Reinier,Real Madrid,Football,LaLiga,"[603, 2643]"
Joselu,Real Madrid,Football,LaLiga,"[604, 2644]"
Pablo Ramón,Real Madrid,Football,LaLiga,"[605, 2645]"
Luis López,Real Madrid,Football,LaLiga,"[606, 2646]"
T. Zidane,Real Madrid,Football,LaLiga,"[607, 2647]"
Mario de Luis,Real Madrid,Football,LaLiga,"[608, 2648]"
Lucas Cañizares,Real Madrid,Football,LaLiga,"[609, 2649]"
Rafa Marín,Real Madrid,Football,LaLiga,"[610, 2650]"
Álvaro Carrillo,Real Madrid,Football,LaLiga,"[611, 2651]"
Peter,Real Madrid,Football,LaLiga,"[612, 2652]"
Vinícius Tobias,Real Madrid,Football,LaLiga,"[613, 2653]"
Edgar Pujol,Real Madrid,Football,LaLiga,"[614, 2654]"
Diego Piñeiro,Real Madrid,Football,LaLiga,"[615, 2655]"
Á. Rodríguez,Real Madrid,Football,LaLiga,"[616, 2656]"
J. de León,Real Madrid,Football,LaLiga,"[617, 2657]"
César Palacios,Real Madrid,Football,LaLiga,"[618, 2658]"
Joan Martínez,Real Madrid,Football,LaLiga,"[619, 2659]"
Arthur,Girona,Football,LaLiga,"[680, 2660]"
Eric García,Girona,Football,LaLiga,"[681, 2661]"
Pau López,Girona,Football,LaLiga,"[682, 2662, 27314]"
C. Stuani,Girona,Football,LaLiga,"[683, 2663]"
A. Dovbyk,Girona,Football,LaLiga,"[684, 2664]"
Borja García,Girona,Football,LaLiga,"[685, 2665]"
Aleix García,Girona,Football,LaLiga,"[686, 2666]"
Toni Fuidias,Girona,Football,LaLiga,"[687, 2667]"
Arnau Ortiz,Girona,Football,LaLiga,"[688, 2668]"
Yan Couto,Girona,Football,LaLiga,"[689, 2669]"
I. Kebe,Girona,Football,LaLiga,"[690, 2670]"
I. Chaira,Girona,Football,LaLiga,"[691, 2671]"
Sávio,Girona,Football,LaLiga,"[692, 2672]"
Pablo Torre,Girona,Football,LaLiga,"[693, 2673]"
Oscar Ureña,Girona,Football,LaLiga,"[694, 2674]"
Iker Garcia,Girona,Football,LaLiga,"[695, 2675]"
Carles Garrido,Girona,Football,LaLiga,"[696, 2676]"
Alex Almansa,Girona,Football,LaLiga,"[697, 2677]"
Antonino,Girona,Football,LaLiga,"[698, 2678]"
J. Arango,Girona,Football,LaLiga,"[699, 2679]"
Luis Pérez,Valladolid,Football,LaLiga,"[725, 27576]"
Jordi Masip,Valladolid,Football,LaLiga,"[726, 27571]"
Unai García,Osasuna,Football,LaLiga,"[740, 27427]"
Kike Barja,Osasuna,Football,LaLiga,"[743, 27418]"
Rubén Peña,Osasuna,Football,LaLiga,"[745, 27425]"
Aimar Oroz,Osasuna,Football,LaLiga,"[748, 27405]"
Pablo Ibáñez,Osasuna,Football,LaLiga,"[749, 27422]"
Raúl García,Osasuna,Football,LaLiga,"[750, 27423]"
Iker Muñoz,Osasuna,Football,LaLiga,"[751, 27411]"
Bryan Zaragoza,Osasuna,Football,LaLiga,"[755, 27409]"
Abdón Prats,Mallorca,Football,LaLiga,"[785, 27376]"
Valery,Mallorca,Football,LaLiga,"[786, 27402]"
Samú Costa,Mallorca,Football,LaLiga,"[789, 27398]"
Chiquinho,Mallorca,Football,LaLiga,"[790, 27379]"
Javi Llabrés,Mallorca,Football,LaLiga,"[793, 27387]"
T. Müller,Bayern München,Football,Bundesliga,"[800, 2120]"
L. Sané,Bayern München,Football,Bundesliga,"[801, 2121]"
B. Sarr,Bayern München,Football,Bundesliga,"[802, 2122]"
M. Tillman,Bayern München,Football,Bundesliga,"[803, 2123]"
J. Schenk,Bayern München,Football,Bundesliga,"[804, 2124]"
L. Denk,Bayern München,Football,Bundesliga,"[805, 2125]"
T. Hülsmann,Bayern München,Football,Bundesliga,"[806, 2126]"
Bryan Zaragoza,Bayern München,Football,Bundesliga,"[807, 2127]"
J. Janitzek,Bayern München,Football,Bundesliga,"[808, 2128]"
P. Wanner,Bayern München,Football,Bundesliga,"[809, 2129]"
Olof Matteo Perez Vinlöf,Bayern München,Football,Bundesliga,"[810, 2130]"
Jonathan Asp Jensen,Bayern München,Football,Bundesliga,"[811, 2131]"
Vincent Manuba,Bayern München,Football,Bundesliga,"[812, 2132]"
Benedikt Wimmer,Bayern München,Football,Bundesliga,"[813, 2133]"
Grayson Dettoni,Bayern München,Football,Bundesliga,"[814, 2134]"
M. Scholze,Bayern München,Football,Bundesliga,"[815, 2135]"
Javier Fernández González,Bayern München,Football,Bundesliga,"[816, 2136]"
Adin Ličina,Bayern München,Football,Bundesliga,"[817, 2137]"
Mudaser Sadat,Bayern München,Football,Bundesliga,"[818, 2138]"
Michael Scott,Bayern München,Football,Bundesliga,"[819, 2139]"
André Silva,Werder Bremen,Football,Bundesliga,"[860, 28083]"
M. Wolf,Borussia Dortmund,Football,Bundesliga,"[920, 2140]"
T. Meunier,Borussia Dortmund,Football,Bundesliga,"[921, 2141]"
M. Hummels,Borussia Dortmund,Football,Bundesliga,"[922, 2142]"
E. Can,Borussia Dortmund,Football,Bundesliga,"[923, 2143]"
J. Brandt,Borussia Dortmund,Football,Bundesliga,"[924, 2144]"
S. Haller,Borussia Dortmund,Football,Bundesliga,"[925, 2145]"
K. Adeyemi,Borussia Dortmund,Football,Bundesliga,"[926, 2146]"
P. Groß,Borussia Dortmund,Football,Bundesliga,"[927, 2147]"
S. Guirassy,Borussia Dortmund,Football,Bundesliga,"[928, 2148]"
M. Beier,Borussia Dortmund,Football,Bundesliga,"[929, 2149]"
Y. Moukoko,Borussia Dortmund,Football,Bundesliga,"[930, 2150]"
S. Coulibaly,Borussia Dortmund,Football,Bundesliga,"[931, 2151]"
F. Roggow,Borussia Dortmund,Football,Bundesliga,"[932, 2152]"
R. Elongo-Yombo,Borussia Dortmund,Football,Bundesliga,"[933, 2153]"
J. Hettwer,Borussia Dortmund,Football,Bundesliga,"[934, 2154]"
William Cole Campbell,Borussia Dortmund,Football,Bundesliga,"[935, 2155]"
Hendry Aron Blank,Borussia Dortmund,Football,Bundesliga,"[936, 2156]"
J. Duranville,Borussia Dortmund,Football,Bundesliga,"[937, 2157]"
Paris Josua  Brunner,Borussia Dortmund,Football,Bundesliga,"[938, 2158]"
Tyler Louis Meiser,Borussia Dortmund,Football,Bundesliga,"[939, 2159]"
P. Schick,Bayer Leverkusen,Football,Bundesliga,"[960, 2160]"
N. Mukiele,Bayer Leverkusen,Football,Bundesliga,"[961, 2161]"
S. Azmoun,Bayer Leverkusen,Football,Bundesliga,"[962, 2162]"
Hermoso,Bayer Leverkusen,Football,Bundesliga,"[963, 2163]"
V. Boniface,Bayer Leverkusen,Football,Bundesliga,"[964, 2164]"
O. Kossounou,Bayer Leverkusen,Football,Bundesliga,"[965, 2165]"
A. Hložek,Bayer Leverkusen,Football,Bundesliga,"[966, 2166]"
A. Adli,Bayer Leverkusen,Football,Bundesliga,"[967, 2167]"
N. Tella,Bayer Leverkusen,Football,Bundesliga,"[968, 2168]"
S. Fofana,Bayer Leverkusen,Football,Bundesliga,"[969, 2169]"
M. Monamay,Bayer Leverkusen,Football,Bundesliga,"[970, 2170]"
I. Maza,Bayer Leverkusen,Football,Bundesliga,"[971, 2171]"
Ken Eghosa Gideon Izekor,Bayer Leverkusen,Football,Bundesliga,"[972, 2172]"
Kerim-Sam Alajbegović,Bayer Leverkusen,Football,Bundesliga,"[973, 2173]"
A. Sarco,Bayer Leverkusen,Football,Bundesliga,"[974, 2174]"
O. Raterink,Bayer Leverkusen,Football,Bundesliga,"[975, 2175]"
A. Natali,Bayer Leverkusen,Football,Bundesliga,"[976, 2176]"
K. Raterink,Bayer Leverkusen,Football,Bundesliga,"[977, 2177]"
B. Hawighorst,Bayer Leverkusen,Football,Bundesliga,"[978, 2178]"
S. Rapsch,Bayer Leverkusen,Football,Bundesliga,"[979, 2179]"
J. Bruun Larsen,VfB Stuttgart,Football,Bundesliga,"[1020, 2180]"
S. Katompa Mvumpa,VfB Stuttgart,Football,Bundesliga,"[1021, 2181]"
C. Führich,VfB Stuttgart,Football,Bundesliga,"[1022, 2182]"
N. Nartey,VfB Stuttgart,Football,Bundesliga,"[1023, 2183]"
A. Karazor,VfB Stuttgart,Football,Bundesliga,"[1024, 2184]"
D. Undav,VfB Stuttgart,Football,Bundesliga,"[1025, 2185]"
E. Demirović,VfB Stuttgart,Football,Bundesliga,"[1026, 2186]"
J. Leweling,VfB Stuttgart,Football,Bundesliga,"[1027, 2187]"
A. Rouault,VfB Stuttgart,Football,Bundesliga,"[1028, 2188]"
A. Stiller,VfB Stuttgart,Football,Bundesliga,"[1029, 2189]"
N. Woltemade,VfB Stuttgart,Football,Bundesliga,"[1030, 2190]"
F. Rieder,VfB Stuttgart,Football,Bundesliga,"[1031, 2191]"
Y. Keitel,VfB Stuttgart,Football,Bundesliga,"[1032, 2192]"
E. Touré,VfB Stuttgart,Football,Bundesliga,"[1033, 2193]"
W. Faghir,VfB Stuttgart,Football,Bundesliga,"[1034, 2194]"
T. Kastanaras,VfB Stuttgart,Football,Bundesliga,"[1035, 2195]"
J. Diehl,VfB Stuttgart,Football,Bundesliga,"[1036, 2196]"
R. Paula,VfB Stuttgart,Football,Bundesliga,"[1037, 2197]"
Christopher Olivier,VfB Stuttgart,Football,Bundesliga,"[1038, 2198]"
Eliot Bujupi,VfB Stuttgart,Football,Bundesliga,"[1039, 2199]"
L. Openda,RB Leipzig,Football,Bundesliga,"[1040, 2200]"
X. Schlager,RB Leipzig,Football,Bundesliga,"[1041, 2201]"
A. Haidara,RB Leipzig,Football,Bundesliga,"[1042, 2202]"
K. Kampl,RB Leipzig,Football,Bundesliga,"[1043, 2203]"
E. Elmas,RB Leipzig,Football,Bundesliga,"[1044, 2204]"
André Silva,RB Leipzig,Football,Bundesliga,"[1045, 2205]"
N. Seiwald,RB Leipzig,Football,Bundesliga,"[1046, 2206]"
L. Geertruida,RB Leipzig,Football,Bundesliga,"[1047, 2207]"
J. Blaswich,RB Leipzig,Football,Bundesliga,"[1048, 2208]"
F. Hartmann,RB Leipzig,Football,Bundesliga,"[1049, 2209]"
B. Šeško,RB Leipzig,Football,Bundesliga,"[1050, 2210]"
Hugo Novoa,RB Leipzig,Football,Bundesliga,"[1051, 2211]"
A. Vermeeren,RB Leipzig,Football,Bundesliga,"[1052, 2212]"
J. Norbye,RB Leipzig,Football,Bundesliga,"[1053, 2213]"
A. Ouédraogo,RB Leipzig,Football,Bundesliga,"[1054, 2214]"
T. Gomis,RB Leipzig,Football,Bundesliga,"[1055, 2215]"
Robert Ramsak,RB Leipzig,Football,Bundesliga,"[1056, 2216, 27986]"
Jamie Schuldes,RB Leipzig,Football,Bundesliga,"[1057, 2217]"
V. Gebel,RB Leipzig,Football,Bundesliga,"[1058, 2218]"
F. Sakar,RB Leipzig,Football,Bundesliga,"[1059, 2219]"
Pedro,Lazio,Football,SerieA,"[1182, 28480]"
André Anderson,Lazio,Football,SerieA,"[1185, 28457]"
F. Ballo-Touré,AC Milan,Football,SerieA,"[1200, 2500]"
D. Origi,AC Milan,Football,SerieA,"[1201, 2501]"
A. Mirante,AC Milan,Football,SerieA,"[1202, 2502]"
D. Calabria,AC Milan,Football,SerieA,"[1203, 2503]"
L. Jović,AC Milan,Football,SerieA,"[1204, 2504]"
S. Kjær,AC Milan,Football,SerieA,"[1205, 2505]"
T. Abraham,AC Milan,Football,SerieA,"[1206, 2506]"
D. Vásquez,AC Milan,Football,SerieA,"[1207, 2507]"
D. Maldini,AC Milan,Football,SerieA,"[1208, 2508]"
E. Roback,AC Milan,Football,SerieA,"[1209, 2509]"
C. De Ketelaere,AC Milan,Football,SerieA,"[1210, 2510]"
M. Lazetić,AC Milan,Football,SerieA,"[1211, 2511]"
A. Coubiș,AC Milan,Football,SerieA,"[1212, 2512]"
Victor Ehuwa Eletu,AC Milan,Football,SerieA,"[1213, 2513]"
Kevin Zeroli,AC Milan,Football,SerieA,"[1214, 2514]"
A. Bakoune,AC Milan,Football,SerieA,"[1215, 2515]"
D. Sia,AC Milan,Football,SerieA,"[1216, 2516]"
Andrea  Bartoccioni,AC Milan,Football,SerieA,"[1217, 2517]"
A. Bonomi,AC Milan,Football,SerieA,"[1218, 2518]"
A. Longoni,AC Milan,Football,SerieA,"[1219, 2519]"
Zito Luvumbo,Cagliari,Football,SerieA,"[1232, 28253]"
David Neres,Napoli,Football,SerieA,"[1244, 28563]"
M. De Sciglio,Juventus,Football,SerieA,"[1300, 2520]"
M. Kean,Juventus,Football,SerieA,"[1301, 2521]"
H. Nicolussi,Juventus,Football,SerieA,"[1302, 2522]"
P. Pogba,Juventus,Football,SerieA,"[1303, 2523]"
S. Gori,Juventus,Football,SerieA,"[1304, 2524]"
G. Frabotta,Juventus,Football,SerieA,"[1305, 2525]"
A. Sersanti,Juventus,Football,SerieA,"[1306, 2526]"
M. Olivieri,Juventus,Football,SerieA,"[1307, 2527]"
T. Barbieri,Juventus,Football,SerieA,"[1308, 2528]"
M. Aké,Juventus,Football,SerieA,"[1309, 2529]"
N. Sekulov,Juventus,Football,SerieA,"[1310, 2530]"
M. Compagnon,Juventus,Football,SerieA,"[1311, 2531]"
T. Muharemović,Juventus,Football,SerieA,"[1312, 2532]"
Facundo González,Juventus,Football,SerieA,"[1313, 2533]"
L. Comenencia,Juventus,Football,SerieA,"[1314, 2534]"
L. Hasa,Juventus,Football,SerieA,"[1315, 2535]"
A. Pietrelli,Juventus,Football,SerieA,"[1316, 2536]"
N. Rizzo,Juventus,Football,SerieA,"[1317, 2537]"
F. Pagnucco,Juventus,Football,SerieA,"[1318, 2538]"
A. Montero,Juventus,Football,SerieA,"[1319, 2539]"
V. Kovalenko,Atalanta,Football,SerieA,"[1340, 2540]"
N. Zaniolo,Atalanta,Football,SerieA,"[1341, 2541]"
D. Zapata,Atalanta,Football,SerieA,"[1342, 2542]"
Rui Patrício,Atalanta,Football,SerieA,"[1343, 2543]"
P. Gollini,Atalanta,Football,SerieA,"[1344, 2544]"
H. Hateboer,Atalanta,Football,SerieA,"[1345, 2545]"
C. Okoli,Atalanta,Football,SerieA,"[1346, 2546]"
R. Tolói,Atalanta,Football,SerieA,"[1347, 2547]"
N. Cambiaghi,Atalanta,Football,SerieA,"[1348, 2548]"
R. Piccoli,Atalanta,Football,SerieA,"[1349, 2549]"
T. Koopmeiners,Atalanta,Football,SerieA,"[1350, 2550]"
A. Cortinovis,Atalanta,Football,SerieA,"[1351, 2551]"
B. Soppy,Atalanta,Football,SerieA,"[1352, 2552]"
G. Cittadini,Atalanta,Football,SerieA,"[1353, 2553]"
M. Dajcar,Atalanta,Football,SerieA,"[1354, 2554]"
E. Kraja,Atalanta,Football,SerieA,"[1355, 2555]"
A. Oliveri,Atalanta,Football,SerieA,"[1356, 2556]"
T. Bertini,Atalanta,Football,SerieA,"[1357, 2557]"
P. Tornaghi,Atalanta,Football,SerieA,"[1358, 2558]"
F. Steffanoni,Atalanta,Football,SerieA,"[1359, 2559]"
G. Cangiano,Bologna,Football,SerieA,"[1360, 2560]"
D. Calabria,Bologna,Football,SerieA,"[1361, 2561]"
R. Freuler,Bologna,Football,SerieA,"[1362, 2562]"
M. Arnautović,Bologna,Football,SerieA,"[1363, 2563]"
N. Cambiaghi,Bologna,Football,SerieA,"[1364, 2564]"
R. Orsolini,Bologna,Football,SerieA,"[1365, 2565]"
J. Odgaard,Bologna,Football,SerieA,"[1366, 2566]"
K. Bonifazi,Bologna,Football,SerieA,"[1367, 2567]"
T. Pobega,Bologna,Football,SerieA,"[1368, 2568]"
S. van Hooijdonk,Bologna,Football,SerieA,"[1369, 2569]"
J. Karlsson,Bologna,Football,SerieA,"[1370, 2570]"
D. Ndoye,Bologna,Football,SerieA,"[1371, 2571]"
T. Dallinga,Bologna,Football,SerieA,"[1372, 2572]"
N. Pyyhtiä,Bologna,Football,SerieA,"[1373, 2573]"
L. Binks,Bologna,Football,SerieA,"[1374, 2574]"
S. Castro,Bologna,Football,SerieA,"[1375, 2575]"
A. Raimondo,Bologna,Football,SerieA,"[1376, 2576]"
N. Bagnolini,Bologna,Football,SerieA,"[1377, 2577]"
N. Byar,Bologna,Football,SerieA,"[1378, 2578]"
T. Ravaglioli,Bologna,Football,SerieA,"[1379, 2579]"
S. Esposito,Inter,Football,SerieA,"[1440, 2580]"
J. Correa,Inter,Football,SerieA,"[1441, 2581]"
Z. Vanheusden,Inter,Football,SerieA,"[1442, 2582]"
M. Arnautović,Inter,Football,SerieA,"[1443, 2583]"
G. Oristanio,Inter,Football,SerieA,"[1444, 2584]"
Jacopo Gianelli,Inter,Football,SerieA,"[1445, 2585]"
F. Stanković,Inter,Football,SerieA,"[1446, 2586]"
F. Carboni,Inter,Football,SerieA,"[1447, 2587]"
M. Zanotti,Inter,Football,SerieA,"[1448, 2588]"
A. Silvestro,Inter,Football,SerieA,"[1449, 2589]"
C. Alexiou,Inter,Football,SerieA,"[1450, 2590]"
D. Quieto,Inter,Football,SerieA,"[1451, 2591]"
L. Topalović,Inter,Football,SerieA,"[1452, 2592]"
F. Stante,Inter,Football,SerieA,"[1453, 2593]"
M. Spinaccè,Inter,Football,SerieA,"[1454, 2594]"
M. Zanchetta,Inter,Football,SerieA,"[1455, 2595]"
Mike Aidoo,Inter,Football,SerieA,"[1456, 2596]"
Matteo Motta,Inter,Football,SerieA,"[1457, 2597]"
A. Taho,Inter,Football,SerieA,"[1458, 2598]"
D. Zárate,Inter,Football,SerieA,"[1459, 2599]"
Kike Pérez,Venezia,Football,SerieA,"[1489, 28728]"
Pepe Reina,Como,Football,SerieA,"[1548, 28288]"
Assane Diao,Como,Football,SerieA,"[1553, 28262]"
Kevin Zeroli,Monza,Football,SerieA,"[1574, 28541]"
S. Umtiti,Lille,Football,Ligue1,"[1600, 2040]"
A. Ounas,Lille,Football,Ligue1,"[1601, 2041]"
C. Akpom,Lille,Football,Ligue1,"[1602, 2042]"
Ivan Cavaleiro,Lille,Football,Ligue1,"[1603, 2043, 28937]"
V. Vanbaleghem,Lille,Football,Ligue1,"[1604, 2044]"
A. Zedadka,Lille,Football,Ligue1,"[1605, 2045]"
R. Cabella,Lille,Football,Ligue1,"[1606, 2046]"
A. Jakubech,Lille,Football,Ligue1,"[1607, 2047]"
G. Gudmundsson,Lille,Football,Ligue1,"[1608, 2048]"
Y. Yazıcı,Lille,Football,Ligue1,"[1609, 2049]"
V. Mannone,Lille,Football,Ligue1,"[1610, 2050]"
T. Negrel,Lille,Football,Ligue1,"[1611, 2051]"
