name,team,sport,league,current_image
S. Amrabat,Manchester United,Football,EPL,https://media.api-sports.io/football/players/74.png
Reguilón,Manchester United,Football,EPL,https://media.api-sports.io/football/players/739.png
R. Varane,Manchester United,Football,EPL,https://media.api-sports.io/football/players/742.png
M. Greenwood,Manchester United,Football,EPL,https://media.api-sports.io/football/players/897.png
A. Martial,Manchester United,Football,EPL,https://media.api-sports.io/football/players/908.png
W. Fish,Manchester United,Football,EPL,https://media.api-sports.io/football/players/153434.png
J. Hugill,Manchester United,Football,EPL,https://media.api-sports.io/football/players/282133.png
O. Forson,Manchester United,Football,EPL,https://media.api-sports.io/football/players/284242.png
Ethan Ennis,Manchester United,Football,EPL,https://media.api-sports.io/football/players/284307.png
R. Bennett,Manchester United,Football,EPL,https://media.api-sports.io/football/players/284363.png
S. Murray,Manchester United,Football,EPL,https://media.api-sports.io/football/players/284391.png
H. Graczyk,Manchester United,Football,EPL,https://media.api-sports.io/football/players/284539.png
M. Oyedele,Manchester United,Football,EPL,https://media.api-sports.io/football/players/303016.png
Samuel Mather,Manchester United,Football,EPL,https://media.api-sports.io/football/players/303017.png
Sonny Aljofree,Manchester United,Football,EPL,https://media.api-sports.io/football/players/330636.png
Ethan Williams,Manchester United,Football,EPL,https://media.api-sports.io/football/players/365664.png
Shea Lacey,Manchester United,Football,EPL,https://media.api-sports.io/football/players/396483.png
L. Karius,Newcastle,Football,EPL,https://media.api-sports.io/football/players/1972.png
R. Fraser,Newcastle,Football,EPL,https://media.api-sports.io/football/players/18873.png
P. Dummett,Newcastle,Football,EPL,https://media.api-sports.io/football/players/18892.png
I. Hayden,Newcastle,Football,EPL,https://media.api-sports.io/football/players/18899.png
M. Ritchie,Newcastle,Football,EPL,https://media.api-sports.io/football/players/18903.png
K. Watts,Newcastle,Football,EPL,https://media.api-sports.io/football/players/68127.png
E. Anderson,Newcastle,Football,EPL,https://media.api-sports.io/football/players/138908.png
M. Ndiweni,Newcastle,Football,EPL,https://media.api-sports.io/football/players/284278.png
J. Turner-Cooke,Newcastle,Football,EPL,https://media.api-sports.io/football/players/284291.png
Jamie Miley,Newcastle,Football,EPL,https://media.api-sports.io/football/players/284305.png
Ciaran Thompson,Newcastle,Football,EPL,https://media.api-sports.io/football/players/313671.png
Cathal Heffernan,Newcastle,Football,EPL,https://media.api-sports.io/football/players/322304.png
Ellis Stanton,Newcastle,Football,EPL,https://media.api-sports.io/football/players/340919.png
J. Emerson,Newcastle,Football,EPL,https://media.api-sports.io/football/players/344233.png
Dylan Charlton,Newcastle,Football,EPL,https://media.api-sports.io/football/players/352210.png
Aidan Harris,Newcastle,Football,EPL,https://media.api-sports.io/football/players/365988.png
A. Munda,Newcastle,Football,EPL,https://media.api-sports.io/football/players/382344.png
Alfie Harrison,Newcastle,Football,EPL,https://media.api-sports.io/football/players/382345.png
Y. Minteh,Newcastle,Football,EPL,https://media.api-sports.io/football/players/383685.png
A. Harrison,Newcastle,Football,EPL,https://media.api-sports.io/football/players/402524.png
J. Kluivert,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/792.png
R. Fredericks,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/18815.png
M. Aarons,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/19070.png
D. Randolph,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/19229.png
L. Kelly,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/19263.png
E. Marcondes,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/19356.png
J. Rothwell,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/19482.png
K. Moore,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/19804.png
I. Radu,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/30765.png
A. Paulsen,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/94360.png
G. Kilkenny,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/130416.png
D. Ouattara,Bournemouth,Football,EPL,https://media.api-sports.io/football/players/284797.png
