name,team,sport,league,duplicate_count,kept_index,removed_indices
Frank Ragnow,Detroit Lions,American-Football,NFL,2,4911,[23052]
Taylor Decker,Detroit Lions,American-Football,NFL,2,4912,[23084]
Penei Sewell,Detroit Lions,American-Football,NFL,2,4913,[23079]
Dan Skipper,Detroit Lions,American-Football,NFL,2,4914,[23050]
Parker Hesse,Detroit Lions,American-Football,NFL,2,4927,[23078]
Ben Niemann,Detroit Lions,American-Football,NFL,2,4931,[23045]
David Montgomery,Detroit Lions,American-Football,NFL,2,4935,[23051]
Isaiah Williams,Detroit Lions,American-Football,NFL,2,4964,[23059]
Hendon Hooker,Detroit Lions,American-Football,NFL,2,4967,[23058]
Jahmyr Gibbs,Detroit Lions,American-Football,NFL,2,4973,[23060]
Sione Vaki,Detroit Lions,American-Football,NFL,2,4978,[23083]
Sam LaPorta,Detroit Lions,American-Football,NFL,2,4981,[23082]
Matthew Judon,Atlanta Falcons,American-Football,NFL,2,4991,[22664]
KhaDarel Hodge,Atlanta Falcons,American-Football,NFL,2,4996,[22656]
Drake London,Atlanta Falcons,American-Football,NFL,2,4997,[22638]
John FitzPatrick,Atlanta Falcons,American-Football,NFL,2,4998,[22650]
Kyle Pitts,Atlanta Falcons,American-Football,NFL,2,4999,[22659]
Drew Dalman,Atlanta Falcons,American-Football,NFL,2,5000,[22639]
Chris Lindstrom,Atlanta Falcons,American-Football,NFL,2,5001,[22631]
Jake Matthews,Atlanta Falcons,American-Football,NFL,2,5002,[22645]
Arnold Ebiketie,Atlanta Falcons,American-Football,NFL,2,5003,[22621]
Grady Jarrett,Atlanta Falcons,American-Football,NFL,2,5004,[22644]
Lorenzo Carter,Atlanta Falcons,American-Football,NFL,2,5007,[22660]
DeAngelo Malone,Atlanta Falcons,American-Football,NFL,2,5009,[22635]
Dee Alford,Atlanta Falcons,American-Football,NFL,2,5010,[22636]
Avery Williams,Atlanta Falcons,American-Football,NFL,2,5012,[22623]
Bradley Pinion,Atlanta Falcons,American-Football,NFL,2,5015,[22625]
Antonio Hamilton,Atlanta Falcons,American-Football,NFL,2,5020,[22620]
Charlie Woerner,Atlanta Falcons,American-Football,NFL,2,5024,[22630]
Darnell Mooney,Atlanta Falcons,American-Football,NFL,2,5026,[22633]
Kirk Cousins,Atlanta Falcons,American-Football,NFL,2,5038,[22657]
Casey Washington,Atlanta Falcons,American-Football,NFL,2,5048,[22629]
Jase McClellan,Atlanta Falcons,American-Football,NFL,2,5051,[22649]
Jovaughn Gwyn,Atlanta Falcons,American-Football,NFL,2,5064,[22653]
Bijan Robinson,Atlanta Falcons,American-Football,NFL,2,5066,[22624]
Matthew Bergeron,Atlanta Falcons,American-Football,NFL,2,5067,[22663]
Michael Penix Jr.,Atlanta Falcons,American-Football,NFL,2,5068,[22665]
Pierre Strong Jr.,Cleveland Browns,American-Football,NFL,2,5079,[22947]
Deshaun Watson,Cleveland Browns,American-Football,NFL,2,5087,[22915]
Nick Chubb,Cleveland Browns,American-Football,NFL,2,5088,[22945]
Jerome Ford,Cleveland Browns,American-Football,NFL,2,5089,[22931]
David Bell,Cleveland Browns,American-Football,NFL,2,5091,[22908]
Amari Cooper,Cleveland Browns,American-Football,NFL,2,5092,[22901]
Michael Woods II,Cleveland Browns,American-Football,NFL,2,5093,[22943]
David Njoku,Cleveland Browns,American-Football,NFL,2,5095,[22909]
Ethan Pocic,Cleveland Browns,American-Football,NFL,2,5096,[22920]
Joel Bitonio,Cleveland Browns,American-Football,NFL,2,5097,[22934]
Jack Conklin,Cleveland Browns,American-Football,NFL,2,5098,[22923]
Myles Garrett,Cleveland Browns,American-Football,NFL,2,5099,[22944]
Denzel Ward,Cleveland Browns,American-Football,NFL,2,5106,[22914]
Elijah Moore,Cleveland Browns,American-Football,NFL,2,5114,[22919]
Juan Thornhill,Cleveland Browns,American-Football,NFL,2,5117,[22937]
D'Onta Foreman,Cleveland Browns,American-Football,NFL,2,5119,[22907]
Quinton Jefferson,Cleveland Browns,American-Football,NFL,2,5126,[22948]
Jaelon Darden,Cleveland Browns,American-Football,NFL,2,5127,[22924]
Jordan Akins,Cleveland Browns,American-Football,NFL,2,5128,[22935]
Jameis Winston,Cleveland Browns,American-Football,NFL,2,5130,[22927]
Jerry Jeudy,Cleveland Browns,American-Football,NFL,2,5131,[22932]
Cedric Tillman,Cleveland Browns,American-Football,NFL,2,5147,[22903]
Jamari Thrash,Cleveland Browns,American-Football,NFL,2,5163,[22926]
Kendric Pryor,Cincinnati Bengals,American-Football,NFL,2,5171,[22882]
Tanner Hudson,Cincinnati Bengals,American-Football,NFL,2,5173,[22889]
Joe Burrow,Cincinnati Bengals,American-Football,NFL,2,5178,[22881]
Chris Evans,Cincinnati Bengals,American-Football,NFL,2,5179,[22866]
Trayveon Williams,Cincinnati Bengals,American-Football,NFL,2,5180,[22893]
Ja'Marr Chase,Cincinnati Bengals,American-Football,NFL,2,5181,[22876]
Tee Higgins,Cincinnati Bengals,American-Football,NFL,2,5182,[22892]
Drew Sample,Cincinnati Bengals,American-Football,NFL,2,5184,[22871]
Trey Hill,Cincinnati Bengals,American-Football,NFL,2,5185,[22898]
Alex Cappa,Cincinnati Bengals,American-Football,NFL,2,5186,[22861]
Cordell Volson,Cincinnati Bengals,American-Football,NFL,2,5187,[22868]
Zack Moss,Cincinnati Bengals,American-Football,NFL,2,5211,[22900]
Mike Gesicki,Cincinnati Bengals,American-Football,NFL,2,5212,[22886]
Jake Browning,Cincinnati Bengals,American-Football,NFL,2,5214,[22878]
Trenton Irwin,Cincinnati Bengals,American-Football,NFL,2,5215,[22896]
Chase Brown,Cincinnati Bengals,American-Football,NFL,2,5218,[22865]
Charlie Jones,Cincinnati Bengals,American-Football,NFL,2,5220,[22864]
Jermaine Burton,Cincinnati Bengals,American-Football,NFL,2,5227,[22880]
Amarius Mims,Cincinnati Bengals,American-Football,NFL,2,5229,[22862]
Tanner McLachlan,Cincinnati Bengals,American-Football,NFL,2,5240,[22890]
Andrei Iosivas,Cincinnati Bengals,American-Football,NFL,2,5248,[22863]
Bilal Nichols,Arizona Cardinals,American-Football,NFL,2,5255,[22568]
Evan Brown,Arizona Cardinals,American-Football,NFL,2,5259,[22581]
Julian Okwara,Arizona Cardinals,American-Football,NFL,2,5260,[22592]
Khyiris Tonga,Arizona Cardinals,American-Football,NFL,2,5263,[22596]
Darren Hall,Arizona Cardinals,American-Football,NFL,2,5264,[22576]
Hjalte Froholdt,Arizona Cardinals,American-Football,NFL,2,5266,[22584]
Jonah Williams,Arizona Cardinals,American-Football,NFL,2,5267,[22591]
Kyler Murray,Arizona Cardinals,American-Football,NFL,2,5269,[22599]
James Conner,Arizona Cardinals,American-Football,NFL,2,5270,[22587]
Andre Baccellia,Arizona Cardinals,American-Football,NFL,2,5271,[22567]
Greg Dortch,Arizona Cardinals,American-Football,NFL,2,5272,[22583]
Dennis Gardeck,Arizona Cardinals,American-Football,NFL,2,5277,[22578]
Jesse Luketa,Arizona Cardinals,American-Football,NFL,2,5278,[22588]
Budda Baker,Arizona Cardinals,American-Football,NFL,2,5280,[22570]
Jalen Thompson,Arizona Cardinals,American-Football,NFL,2,5281,[22586]
Matt Prater,Arizona Cardinals,American-Football,NFL,2,5282,[22605]
Kyzir White,Arizona Cardinals,American-Football,NFL,2,5284,[22600]
Michael Carter,Arizona Cardinals,American-Football,NFL,2,5286,[22607]
Krys Barnes,Arizona Cardinals,American-Football,NFL,2,5287,[22598]
Justin Jones,Arizona Cardinals,American-Football,NFL,2,5289,[22593]
DeeJay Dallas,Arizona Cardinals,American-Football,NFL,2,5291,[22577]
Joey Blount,Arizona Cardinals,American-Football,NFL,2,5294,[22589]
Sean Murphy-Bunting,Arizona Cardinals,American-Football,NFL,2,5295,[22612]
Chris Moore,Arizona Cardinals,American-Football,NFL,2,5297,[22572]
Roy Lopez,Arizona Cardinals,American-Football,NFL,2,5298,[22611]
Blake Gillikin,Arizona Cardinals,American-Football,NFL,2,5300,[22569]
Travis Vokolek,Arizona Cardinals,American-Football,NFL,2,5311,[22615]
Tip Reiman,Arizona Cardinals,American-Football,NFL,2,5312,[22614]
Trey Benson,Arizona Cardinals,American-Football,NFL,2,5313,[22616]
Dante Stills,Arizona Cardinals,American-Football,NFL,2,5315,[22575]
Emari Demercado,Arizona Cardinals,American-Football,NFL,2,5321,[22580]
Marvin Harrison Jr.,Arizona Cardinals,American-Football,NFL,2,5322,[22604]
Clayton Tune,Arizona Cardinals,American-Football,NFL,2,5324,[22573]
Max Melton,Arizona Cardinals,American-Football,NFL,2,5328,[22606]
Owen Pappoe,Arizona Cardinals,American-Football,NFL,2,5329,[22609]
Elijah Higgins,Arizona Cardinals,American-Football,NFL,2,5330,[22579]
Michael Wilson,Arizona Cardinals,American-Football,NFL,2,5331,[22608]
Garrett Williams,Arizona Cardinals,American-Football,NFL,2,5333,[22582]
Kei'Trel Clark,Arizona Cardinals,American-Football,NFL,2,5334,[22594]
Saquon Barkley,Philadelphia Eagles,American-Football,NFL,2,5338,[23800]
Jalen Hurts,Philadelphia Eagles,American-Football,NFL,2,5343,[23784]
Kenneth Gainwell,Philadelphia Eagles,American-Football,NFL,2,5344,[23789]
A.J. Brown,Philadelphia Eagles,American-Football,NFL,2,5345,[23765]
Britain Covey,Philadelphia Eagles,American-Football,NFL,2,5346,[23768]
DeVonta Smith,Philadelphia Eagles,American-Football,NFL,2,5347,[23775]
Grant Calcaterra,Philadelphia Eagles,American-Football,NFL,2,5348,[23778]
Dallas Goedert,Philadelphia Eagles,American-Football,NFL,2,5349,[23770]
Jack Stoll,Philadelphia Eagles,American-Football,NFL,2,5350,[23781]
Cam Jurgens,Philadelphia Eagles,American-Football,NFL,2,5351,[23769]
Lane Johnson,Philadelphia Eagles,American-Football,NFL,2,5352,[23793]
Jordan Mailata,Philadelphia Eagles,American-Football,NFL,2,5353,[23787]
Darius Slay,Philadelphia Eagles,American-Football,NFL,2,5366,[23773]
Tyrion Davis-Price,Philadelphia Eagles,American-Football,NFL,2,5374,[23807]
Oren Burks,Philadelphia Eagles,American-Football,NFL,2,5375,[23797]
Jahan Dotson,Philadelphia Eagles,American-Football,NFL,2,5377,[23783]
Kenny Pickett,Philadelphia Eagles,American-Football,NFL,2,5382,[23790]
Fred Johnson,Philadelphia Eagles,American-Football,NFL,2,5383,[23777]
Jacob Harris,Philadelphia Eagles,American-Football,NFL,2,5389,[23782]
Ochaun Mathis,Philadelphia Eagles,American-Football,NFL,2,5395,[23796]
Johnny Wilson,Philadelphia Eagles,American-Football,NFL,2,5397,[23786]
Tanner McKee,Philadelphia Eagles,American-Football,NFL,2,5414,[23802]
Will Shipley,Philadelphia Eagles,American-Football,NFL,2,5417,[23808]
Davante Adams,New York Jets,American-Football,NFL,2,5424,[23730]
John Simpson,New York Jets,American-Football,NFL,2,5425,[23747]
Chuck Clark,New York Jets,American-Football,NFL,2,5429,[23727]
Isaiah Oliver,New York Jets,American-Football,NFL,2,5433,[23737]
Leki Fotu,New York Jets,American-Football,NFL,2,5434,[23748]
Breece Hall,New York Jets,American-Football,NFL,2,5436,[23722]
Irvin Charles,New York Jets,American-Football,NFL,2,5437,[23735]
Garrett Wilson,New York Jets,American-Football,NFL,2,5438,[23733]
Jeremy Ruckert,New York Jets,American-Football,NFL,2,5440,[23744]
Alijah Vera-Tucker,New York Jets,American-Football,NFL,2,5442,[23716]
Micheal Clemons,New York Jets,American-Football,NFL,2,5443,[23753]
Jermaine Johnson,New York Jets,American-Football,NFL,2,5444,[23745]
Solomon Thomas,New York Jets,American-Football,NFL,2,5445,[23762]
Quinnen Williams,New York Jets,American-Football,NFL,2,5447,[23758]
C.J. Mosley,New York Jets,American-Football,NFL,2,5448,[23724]
Jamien Sherwood,New York Jets,American-Football,NFL,2,5449,[23740]
Chazz Surratt,New York Jets,American-Football,NFL,2,5450,[23726]
Quincy Williams,New York Jets,American-Football,NFL,2,5451,[23757]
Brandin Echols,New York Jets,American-Football,NFL,2,5453,[23721]
Sauce Gardner,New York Jets,American-Football,NFL,2,5454,[23761]
D.J. Reed,New York Jets,American-Football,NFL,2,5455,[23729]
Ashtyn Davis,New York Jets,American-Football,NFL,2,5457,[23718]
Greg Zuerlein,New York Jets,American-Football,NFL,2,5458,[23734]
Thomas Hennessy,New York Jets,American-Football,NFL,2,5459,[23764]
Javon Kinlaw,New York Jets,American-Football,NFL,2,5460,[23742]
Aaron Rodgers,New York Jets,American-Football,NFL,2,5461,[23715]
Allen Lazard,New York Jets,American-Football,NFL,2,5462,[23717]
Mike Williams,New York Jets,American-Football,NFL,2,5468,[23754]
Takkarist McKinley,New York Jets,American-Football,NFL,2,5470,[23763]
Malachi Corley,New York Jets,American-Football,NFL,2,5478,[23750]
Eric Watts,New York Jets,American-Football,NFL,2,5479,[23732]
Israel Abanikanda,New York Jets,American-Football,NFL,2,5481,[23738]
Carter Warren,New York Jets,American-Football,NFL,2,5482,[23725]
Braiden McGregor,New York Jets,American-Football,NFL,2,5489,[23720]
Leonard Taylor,New York Jets,American-Football,NFL,2,5491,[23749]
Braelon Allen,New York Jets,American-Football,NFL,2,5493,[23719]
Joe Tippmann,New York Jets,American-Football,NFL,2,5494,[23746]
Isaiah Davis,New York Jets,American-Football,NFL,2,5496,[23736]
Qwan'tez Stiggers,New York Jets,American-Football,NFL,2,5510,[23759]
Rock Ya-Sin,San Francisco 49ers,American-Football,NFL,2,5511,[23908]
Ben Bartch,San Francisco 49ers,American-Football,NFL,2,5512,[23860]
Joshua Dobbs,San Francisco 49ers,American-Football,NFL,2,5520,[23895]
Jordan Elliott,San Francisco 49ers,American-Football,NFL,2,5521,[23893]
Brandon Allen,San Francisco 49ers,American-Football,NFL,2,5522,[23862]
Javon Hargrave,San Francisco 49ers,American-Football,NFL,2,5525,[23889]
Brock Purdy,San Francisco 49ers,American-Football,NFL,2,5526,[23863]
Jordan Mason,San Francisco 49ers,American-Football,NFL,2,5527,[23894]
Kyle Juszczyk,San Francisco 49ers,American-Football,NFL,2,5528,[23897]
Brandon Aiyuk,San Francisco 49ers,American-Football,NFL,2,5529,[23861]
Jauan Jennings,San Francisco 49ers,American-Football,NFL,2,5531,[23888]
Deebo Samuel,San Francisco 49ers,American-Football,NFL,2,5532,[23872]
George Kittle,San Francisco 49ers,American-Football,NFL,2,5533,[23880]
Jake Brendel,San Francisco 49ers,American-Football,NFL,2,5534,[23885]
Aaron Banks,San Francisco 49ers,American-Football,NFL,2,5535,[23859]
Nick Zakelj,San Francisco 49ers,American-Football,NFL,2,5537,[23904]
Nick Bosa,San Francisco 49ers,American-Football,NFL,2,5538,[23903]
Kevin Givens,San Francisco 49ers,American-Football,NFL,2,5540,[23896]
Demetrius Flannigan-Fowles,San Francisco 49ers,American-Football,NFL,2,5541,[23873]
Dre Greenlaw,San Francisco 49ers,American-Football,NFL,2,5542,[23876]
Curtis Robinson,San Francisco 49ers,American-Football,NFL,2,5543,[23868]
Fred Warner,San Francisco 49ers,American-Football,NFL,2,5544,[23879]
Deommodore Lenoir,San Francisco 49ers,American-Football,NFL,2,5545,[23874]
Charvarius Ward,San Francisco 49ers,American-Football,NFL,2,5547,[23864]
George Odum,San Francisco 49ers,American-Football,NFL,2,5551,[23881]
Mitch Wishnowsky,San Francisco 49ers,American-Football,NFL,2,5552,[23902]
De'Vondre Campbell,San Francisco 49ers,American-Football,NFL,2,5554,[23870]
Jake Tonges,San Francisco 49ers,American-Football,NFL,2,5557,[23887]
Chris Conley,San Francisco 49ers,American-Football,NFL,2,5563,[23865]
Maliek Collins,San Francisco 49ers,American-Football,NFL,2,5565,[23900]
Isaac Yiadom,San Francisco 49ers,American-Football,NFL,2,5566,[23883]
Eric Saubert,San Francisco 49ers,American-Football,NFL,2,5567,[23878]
Leonard Floyd,San Francisco 49ers,American-Football,NFL,2,5568,[23899]
Renardo Green,San Francisco 49ers,American-Football,NFL,2,5576,[23906]
Malik Mustapha,San Francisco 49ers,American-Football,NFL,2,5579,[23901]
Ji'Ayir Brown,San Francisco 49ers,American-Football,NFL,2,5581,[23891]
Dominick Puni,San Francisco 49ers,American-Football,NFL,2,5583,[23875]
Dee Winters,San Francisco 49ers,American-Football,NFL,2,5584,[23871]
Jake Moody,San Francisco 49ers,American-Football,NFL,2,5589,[23886]
Isaac Guerendo,San Francisco 49ers,American-Football,NFL,2,5591,[23882]
Jacob Cowing,San Francisco 49ers,American-Football,NFL,2,5593,[23884]
Josh Jacobs,Green Bay Packers,American-Football,NFL,2,5599,[23105]
Malik Willis,Green Bay Packers,American-Football,NFL,2,5602,[23113]
Jordan Love,Green Bay Packers,American-Football,NFL,2,5604,[23103]
AJ Dillon,Green Bay Packers,American-Football,NFL,2,5605,[23089]
Romeo Doubs,Green Bay Packers,American-Football,NFL,2,5606,[23121]
Samori Toure,Green Bay Packers,American-Football,NFL,2,5607,[23123]
Christian Watson,Green Bay Packers,American-Football,NFL,2,5608,[23094]
Josh Myers,Green Bay Packers,American-Football,NFL,2,5609,[23106]
Elgton Jenkins,Green Bay Packers,American-Football,NFL,2,5610,[23098]
Sean Rhyan,Green Bay Packers,American-Football,NFL,2,5611,[23125]
Kenny Clark,Green Bay Packers,American-Football,NFL,2,5612,[23108]
Jaire Alexander,Green Bay Packers,American-Football,NFL,2,5621,[23101]
Andrew Beck,Green Bay Packers,American-Football,NFL,2,5626,[23091]
Bo Melton,Green Bay Packers,American-Football,NFL,2,5634,[23093]
Sean Clifford,Green Bay Packers,American-Football,NFL,2,5641,[23124]
Jayden Reed,Green Bay Packers,American-Football,NFL,2,5648,[23102]
Jacob Monk,Green Bay Packers,American-Football,NFL,2,5649,[23100]
Ben Sims,Green Bay Packers,American-Football,NFL,2,5655,[23092]
Malik Heath,Green Bay Packers,American-Football,NFL,2,5659,[23112]
Tucker Kraft,Green Bay Packers,American-Football,NFL,2,5662,[23127]
Dontayvion Wicks,Green Bay Packers,American-Football,NFL,2,5664,[23097]
MarShawn Lloyd,Green Bay Packers,American-Football,NFL,2,5676,[23114]
Travis Glover,Green Bay Packers,American-Football,NFL,2,5677,[23126]
Luke Musgrave,Green Bay Packers,American-Football,NFL,2,5678,[23110]
Emanuel Wilson,Green Bay Packers,American-Football,NFL,2,5683,[23099]
Andrew Billings,Chicago Bears,American-Football,NFL,2,5687,[22812]
DeMarcus Walker,Chicago Bears,American-Football,NFL,2,5689,[22827]
Kevin Byard,Chicago Bears,American-Football,NFL,2,5690,[22843]
D'Andre Swift,Chicago Bears,American-Football,NFL,2,5691,[22822]
Scott Daly,Chicago Bears,American-Football,NFL,2,5692,[22857]
T.J. Edwards,Chicago Bears,American-Football,NFL,2,5695,[22858]
Jacob Martin,Chicago Bears,American-Football,NFL,2,5696,[22835]
Marcedes Lewis,Chicago Bears,American-Football,NFL,2,5698,[22848]
Khalil Herbert,Chicago Bears,American-Football,NFL,2,5701,[22844]
Cole Kmet,Chicago Bears,American-Football,NFL,2,5706,[22820]
Larry Borom,Chicago Bears,American-Football,NFL,2,5707,[22847]
Teven Jenkins,Chicago Bears,American-Football,NFL,2,5708,[22860]
Dominique Robinson,Chicago Bears,American-Football,NFL,2,5709,[22829]
Jack Sanborn,Chicago Bears,American-Football,NFL,2,5710,[22834]
Josh Blackwell,Chicago Bears,American-Football,NFL,2,5712,[22841]
Kyler Gordon,Chicago Bears,American-Football,NFL,2,5713,[22846]
Jaylon Johnson,Chicago Bears,American-Football,NFL,2,5714,[22838]
Jaylon Jones,Chicago Bears,American-Football,NFL,2,5715,[22839]
Jaquan Brisker,Chicago Bears,American-Football,NFL,2,5716,[22837]
Elijah Hicks,Chicago Bears,American-Football,NFL,2,5717,[22831]
Cairo Santos,Chicago Bears,American-Football,NFL,2,5718,[22817]
Montez Sweat,Chicago Bears,American-Football,NFL,2,5719,[22851]
DJ Moore,Chicago Bears,American-Football,NFL,2,5720,[22828]
Matt Pryor,Chicago Bears,American-Football,NFL,2,5723,[22850]
Byron Cowart,Chicago Bears,American-Football,NFL,2,5724,[22816]
Chris Williams,Chicago Bears,American-Football,NFL,2,5725,[22819]
Darrell Taylor,Chicago Bears,American-Football,NFL,2,5727,[22825]
Jonathan Owens,Chicago Bears,American-Football,NFL,2,5730,[22840]
Keenan Allen,Chicago Bears,American-Football,NFL,2,5733,[22842]
DeAndre Carter,Chicago Bears,American-Football,NFL,2,5734,[22826]
Gerald Everett,Chicago Bears,American-Football,NFL,2,5735,[22832]
Amen Ogbongbemiga,Chicago Bears,American-Football,NFL,2,5736,[22811]
Coleman Shelton,Chicago Bears,American-Football,NFL,2,5737,[22821]
Daniel Hardy,Chicago Bears,American-Football,NFL,2,5738,[22823]
Darnell Wright,Chicago Bears,American-Football,NFL,2,5746,[22824]
Austin Booker,Chicago Bears,American-Football,NFL,2,5747,[22813]
Terell Smith,Chicago Bears,American-Football,NFL,2,5748,[22859]
Noah Sewell,Chicago Bears,American-Football,NFL,2,5751,[22853]
Caleb Williams,Chicago Bears,American-Football,NFL,2,5753,[22818]
Roschon Johnson,Chicago Bears,American-Football,NFL,2,5767,[22855]
Rome Odunze,Chicago Bears,American-Football,NFL,2,5769,[22854]
Jawaan Taylor,Kansas City Chiefs,American-Football,NFL,2,5775,[23304]
Keaontay Ingram,Kansas City Chiefs,American-Football,NFL,2,5783,[23317]
Marquise Brown,Kansas City Chiefs,American-Football,NFL,2,5784,[23323]
Clyde Edwards-Helaire,Kansas City Chiefs,American-Football,NFL,2,5792,[23289]
Isiah Pacheco,Kansas City Chiefs,American-Football,NFL,2,5793,[23300]
Justyn Ross,Kansas City Chiefs,American-Football,NFL,2,5796,[23316]
JuJu Smith-Schuster,Kansas City Chiefs,American-Football,NFL,2,5797,[23313]
Justin Watson,Kansas City Chiefs,American-Football,NFL,2,5798,[23315]
Jody Fortson,Kansas City Chiefs,American-Football,NFL,2,5799,[23307]
Creed Humphrey,Kansas City Chiefs,American-Football,NFL,2,5802,[23290]
Joe Thuney,Kansas City Chiefs,American-Football,NFL,2,5804,[23308]
Malik Herring,Kansas City Chiefs,American-Football,NFL,2,5806,[23322]
George Karlaftis,Kansas City Chiefs,American-Football,NFL,2,5807,[23297]
Chris Jones,Kansas City Chiefs,American-Football,NFL,2,5808,[23288]
Derrick Nnadi,Kansas City Chiefs,American-Football,NFL,2,5809,[23292]
Leo Chenal,Kansas City Chiefs,American-Football,NFL,2,5812,[23320]
Jack Cochrane,Kansas City Chiefs,American-Football,NFL,2,5814,[23301]
Jaylen Watson,Kansas City Chiefs,American-Football,NFL,2,5816,[23305]
Joshua Williams,Kansas City Chiefs,American-Football,NFL,2,5817,[23312]
Deon Bush,Kansas City Chiefs,American-Football,NFL,2,5818,[23291]
Bryan Cook,Kansas City Chiefs,American-Football,NFL,2,5819,[23281]
Justin Reid,Kansas City Chiefs,American-Football,NFL,2,5820,[23314]
Harrison Butker,Kansas City Chiefs,American-Football,NFL,2,5821,[23298]
James Winchester,Kansas City Chiefs,American-Football,NFL,2,5822,[23302]
Carson Wentz,Kansas City Chiefs,American-Football,NFL,2,5823,[23286]
Carson Steele,Kansas City Chiefs,American-Football,NFL,2,5838,[23285]
Emani Bailey,Kansas City Chiefs,American-Football,NFL,2,5844,[23294]
Jared Wiley,Kansas City Chiefs,American-Football,NFL,2,5846,[23303]
C.J. Hanson,Kansas City Chiefs,American-Football,NFL,2,5862,[23282]
Marcus Mariota,Washington Commanders,American-Football,NFL,2,5875,[24093]
Olamide Zaccheaus,Washington Commanders,American-Football,NFL,2,5876,[24099]
Byron Pringle,Washington Commanders,American-Football,NFL,2,5883,[24070]
Nick Allegretti,Washington Commanders,American-Football,NFL,2,5884,[24095]
Brian Robinson Jr.,Washington Commanders,American-Football,NFL,2,5885,[24069]
Dyami Brown,Washington Commanders,American-Football,NFL,2,5886,[24080]
Terry McLaurin,Washington Commanders,American-Football,NFL,2,5888,[24104]
John Bates,Washington Commanders,American-Football,NFL,2,5889,[24088]
Cole Turner,Washington Commanders,American-Football,NFL,2,5890,[24074]
Jonathan Allen,Washington Commanders,American-Football,NFL,2,5893,[24089]
Daron Payne,Washington Commanders,American-Football,NFL,2,5895,[24078]
Jamison Crowder,Washington Commanders,American-Football,NFL,2,5907,[24084]
Jeremy McNichols,Washington Commanders,American-Football,NFL,2,5908,[24087]
Trent Scott,Washington Commanders,American-Football,NFL,2,5909,[24106]
Jeff Driskel,Washington Commanders,American-Football,NFL,2,5914,[24086]
Noah Brown,Washington Commanders,American-Football,NFL,2,5916,[24098]
Tyler Biadasz,Washington Commanders,American-Football,NFL,2,5917,[24107]
Austin Ekeler,Washington Commanders,American-Football,NFL,2,5920,[24063]
Bobby Wagner,Washington Commanders,American-Football,NFL,2,5923,[24066]
Luke McCaffrey,Washington Commanders,American-Football,NFL,2,5925,[24092]
Colson Yankoff,Washington Commanders,American-Football,NFL,2,5949,[24075]
Ben Sinnott,Washington Commanders,American-Football,NFL,2,5952,[24064]
Jayden Daniels,Washington Commanders,American-Football,NFL,2,5959,[24085]
Miles Sanders,Carolina Panthers,American-Football,NFL,2,5974,[22798]
Jordan Matthews,Carolina Panthers,American-Football,NFL,2,5975,[22792]
Raheem Blackshear,Carolina Panthers,American-Football,NFL,2,5981,[22799]
Chuba Hubbard,Carolina Panthers,American-Football,NFL,2,5982,[22777]
Terrace Marshall Jr.,Carolina Panthers,American-Football,NFL,2,5983,[22807]
Stephen Sullivan,Carolina Panthers,American-Football,NFL,2,5984,[22805]
Ian Thomas,Carolina Panthers,American-Football,NFL,2,5985,[22786]
Tommy Tremble,Carolina Panthers,American-Football,NFL,2,5986,[22808]
Ikem Ekwonu,Carolina Panthers,American-Football,NFL,2,5987,[22787]
Shaq Thompson,Carolina Panthers,American-Football,NFL,2,5991,[22803]
Diontae Johnson,Carolina Panthers,American-Football,NFL,2,6000,[22783]
Damien Lewis,Carolina Panthers,American-Football,NFL,2,6001,[22778]
Robert Hunt,Carolina Panthers,American-Football,NFL,2,6006,[22802]
Andy Dalton,Carolina Panthers,American-Football,NFL,2,6007,[22770]
Mike Boone,Carolina Panthers,American-Football,NFL,2,6010,[22797]
Adam Thielen,Carolina Panthers,American-Football,NFL,2,6020,[22767]
David Moore,Carolina Panthers,American-Football,NFL,2,6030,[22781]
Bryce Young,Carolina Panthers,American-Football,NFL,2,6039,[22773]
Chandler Zavala,Carolina Panthers,American-Football,NFL,2,6044,[22776]
Jonathan Mingo,Carolina Panthers,American-Football,NFL,2,6046,[22791]
Xavier Legette,Carolina Panthers,American-Football,NFL,2,6051,[22809]
Ja'Tavion Sanders,Carolina Panthers,American-Football,NFL,2,6054,[22788]
Mack Hollins,Buffalo Bills,American-Football,NFL,2,6064,[22746]
Mike White,Buffalo Bills,American-Football,NFL,2,6072,[22749]
Curtis Samuel,Buffalo Bills,American-Football,NFL,2,6080,[22726]
Josh Allen,Buffalo Bills,American-Football,NFL,2,6082,[22741]
James Cook,Buffalo Bills,American-Football,NFL,2,6083,[22738]
Reggie Gilliam,Buffalo Bills,American-Football,NFL,2,6084,[22755]
Khalil Shakir,Buffalo Bills,American-Football,NFL,2,6085,[22744]
Dawson Knox,Buffalo Bills,American-Football,NFL,2,6087,[22733]
Quintin Morris,Buffalo Bills,American-Football,NFL,2,6088,[22753]
Alec Anderson,Buffalo Bills,American-Football,NFL,2,6089,[22718]
DaQuan Jones,Buffalo Bills,American-Football,NFL,2,6093,[22731]
Jordan Phillips,Buffalo Bills,American-Football,NFL,2,6095,[22740]
Terrel Bernard,Buffalo Bills,American-Football,NFL,2,6096,[22766]
Matt Milano,Buffalo Bills,American-Football,NFL,2,6097,[22747]
Christian Benford,Buffalo Bills,American-Football,NFL,2,6100,[22724]
Kaiir Elam,Buffalo Bills,American-Football,NFL,2,6101,[22742]
